X,City,Year,CO,Humidity,NO2,O3,PM10,PM25,SO2,Temperature,lat,lng,IPM25,IPM10,INO2,IO3,IQA,Country
98,Ottawa,2023,0.175975975975977,71.6111111111111,4.21062176165803,19.4421188630491,NA,34.9586563307494,0.604301075268817,9.37467700258398,45.4215,-75.6972,6.99173126614987,NA,0.421062176165803,0.324035314384152,7.73682875669983,Canada
99,Paris,2019,0.100000000000001,73.5837398373984,17.3491978609626,18.3358288770053,21.4385026737968,47.2433155080214,0.589572192513369,13.3940379403794,48.8566,2.3522,9.44866310160428,1.42923351158645,1.73491978609626,0.305597147950089,11.4891800356506,France
100,Paris,2020,0.100000000000001,73.0265789473684,13.0820707070707,20.0757575757576,18.7575757575758,41.7525252525252,0.750381679389313,13.6705263157895,48.8566,2.3522,8.35050505050505,1.25050505050505,1.30820707070707,0.334595959595959,9.99330808080808,France
101,Paris,2021,0.100000000000001,76.3843187660668,14.3953608247423,19.498969072165,19.9768041237113,46.2879177377892,0.618852459016393,12.3491002570694,48.8566,2.3522,9.25758354755784,1.33178694158076,1.43953608247423,0.324982817869416,11.0221024479015,France
102,Paris,2022,0.1,71.1578073089699,12.6724252491694,21.2395348837209,18.5282392026578,39.0431893687708,0.25,15.6431893687708,48.8566,2.3522,7.80863787375415,1.23521594684385,1.26724252491694,0.353992248062015,9.42987264673311,France
103,Paris,2023,0.1,71.4394463667819,12.2249134948097,24.7771626297578,18.7439446366782,41.4913494809689,NA,14.8657439446367,48.8566,2.3522,8.29826989619377,1.24959630911188,1.22249134948097,0.412952710495963,9.93371395617071,France
104,Pretoria,2019,6.48983957219251,27.5403225806452,6.66958904109589,7.71223021582734,49.3972602739726,87.233676975945,4.74832402234637,10.0736559139785,-25.7461,28.1881,17.446735395189,3.29315068493151,0.666958904109589,0.128537170263789,18.2422314695624,South Africa
105,Pretoria,2020,4.60050505050506,63.5045212765957,8.86565656565656,3.36296296296296,35.9469696969697,73.2575757575758,2.82525252525253,16.9135638297872,-25.7461,28.1881,14.6515151515152,2.39646464646465,0.886565656565656,0.0560493827160494,15.5941301907969,South Africa
106,Pretoria,2021,9.82374670184697,59.2245478036175,5.68380462724936,6.61185897435897,35.7429305912596,73.1632124352331,3.03419023136247,17.4614395886889,-25.7461,28.1881,14.6326424870466,2.38286203941731,0.568380462724936,0.11019764957265,15.3112205993442,South Africa
107,Pretoria,2022,16.1352272727273,61.8531561461795,7.177,5.4219512195122,36.4766666666667,75.2366666666667,2.238,16.671096345515,-25.7461,28.1881,15.0473333333333,2.43177777777778,0.7177,0.0903658536585367,15.8553991869919,South Africa
108,Pretoria,2023,8.7376306620209,63.3930795847751,5.59757785467128,13.7533101045296,36.8373702422145,72.7785467128028,2.07750865051903,19.2048442906574,-25.7461,28.1881,14.5557093425606,2.4558246828143,0.559757785467128,0.229221835075494,15.3446889631032,South Africa
109,Reykjavík,2019,0.100000000000001,81.9438943894391,3.11947194719472,NA,7.44884488448845,14.3828382838284,1.09075907590759,6.4069306930693,64.1265,-21.8174,2.87656765676568,0.496589658965897,0.311947194719472,NA,3.18851485148515,Iceland
110,Reykjavík,2020,0.1,73.4928759894459,3.06962025316456,NA,8.12532637075718,13.5254901960784,1.70843989769821,5.23430079155673,64.1265,-21.8174,2.70509803921569,0.541688424717145,0.306962025316456,NA,3.01206006453214,Iceland
111,Reykjavík,2021,0.0999999999999997,75.2075520833333,2.30392670157068,NA,9.51832460732984,16.6649214659686,2.04947643979058,5.421875,64.1265,-21.8174,3.33298429319372,0.63455497382199,0.230392670157068,NA,3.56337696335079,Iceland
112,Reykjavík,2022,0.100000000000001,72.9435215946844,2.5063122923588,NA,5.32890365448505,13.4485049833887,2.18073089700997,6.53654485049834,64.1265,-21.8174,2.68970099667774,0.355260243632337,0.25063122923588,NA,2.94033222591362,Iceland
113,Reykjavík,2023,0.1,75.6532871972318,3.11314878892734,NA,6.44290657439446,16.8235294117647,2.37647058823529,6.32456747404844,64.1265,-21.8174,3.36470588235294,0.429527104959631,0.311314878892734,NA,3.67602076124567,Iceland
114,Rome,2019,0.100000000000001,64.3439024390245,13.572192513369,18.3823529411765,21.0695187165775,47.6951871657754,0.372386058981234,17.0211382113821,41.9028,12.4964,9.53903743315508,1.40463458110517,1.3572192513369,0.306372549019608,11.2026292335116,Italy
115,Rome,2020,0.100000000000001,68.0936675461741,11.2458227848101,18.5156962025316,21.5569620253165,48.6227848101266,0.365228426395939,17.3606860158311,41.9028,12.4964,9.72455696202532,1.43713080168776,1.12458227848101,0.308594936708861,11.1577341772152,Italy
116,Rome,2021,0.100000000000001,61.5604651162791,10.7510471204188,18.994502617801,20.7486910994764,44.5418848167539,0.622774869109947,17.2147286821705,41.9028,12.4964,8.90837696335079,1.38324607329843,1.07510471204188,0.316575043630017,10.3000567190227,Italy
117,Rome,2022,0.100000000000001,61.8322259136213,10.5003322259136,21.0667774086379,20.6179401993355,45.1428571428571,1.15016611295681,20.1594684385382,41.9028,12.4964,9.02857142857143,1.37452934662237,1.05003322259136,0.351112956810631,10.4297176079734,Italy
118,Rome,2023,0.1,66.2403141361257,11.0167539267016,18.8732984293194,18.6806282722513,44.8010471204189,1.4586387434555,14.4675392670157,41.9028,12.4964,8.96020942408377,1.24537521815009,1.10167539267016,0.31455497382199,10.3764397905759,Italy
119,São Paulo,2019,4.92021563342318,76.3918699186992,14.4512129380054,14.3156334231806,23.4932614555256,54.0619946091644,1.07843665768195,21.9710027100271,-23.5505,-46.6333,10.8123989218329,1.56621743036837,1.44512129380054,0.238593890386343,12.4961141060198,Brazil
